layout_family,interpolator,practical_equivalence_tolerance,comparisons,candidate_lower_error,practically_indistinguishable,candidate_higher_error,median_delta_nrmse,min_delta_nrmse,max_delta_nrmse
boundary_constrained,linear,0.0025,24,1,2,21,0.02544999479768824,-0.007986172122332703,0.1195688326383422
boundary_constrained,linear,0.005,24,1,2,21,0.02544999479768824,-0.007986172122332703,0.1195688326383422
boundary_constrained,linear,0.01,24,0,7,17,0.02544999479768824,-0.007986172122332703,0.1195688326383422
boundary_constrained,pchip,0.0025,24,2,3,19,0.011997785675941668,-0.038415392162999544,0.14684978245605473
boundary_constrained,pchip,0.005,24,2,7,15,0.011997785675941668,-0.038415392162999544,0.14684978245605473
boundary_constrained,pchip,0.01,24,2,7,15,0.011997785675941668,-0.038415392162999544,0.14684978245605473
original,linear,0.0025,24,1,2,21,0.022239413137771058,-0.007986172122332703,0.17314182859051636
original,linear,0.005,24,1,2,21,0.022239413137771058,-0.007986172122332703,0.17314182859051636
original,linear,0.01,24,0,8,16,0.022239413137771058,-0.007986172122332703,0.17314182859051636
original,pchip,0.0025,24,2,3,19,0.0243081414151231,-0.038415392162999544,0.18001728313630116
original,pchip,0.005,24,2,5,17,0.0243081414151231,-0.038415392162999544,0.18001728313630116
original,pchip,0.01,24,2,5,17,0.0243081414151231,-0.038415392162999544,0.18001728313630116
