test,source,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,events,median_delta,min_delta,max_delta,events_lower,events_higher
SKS02,SKS03,0,0.25,120,shaking,boundary_retained,4,peak_load_error,6,-0.32086091741907297,-0.3719609588753725,-0.27856282077001454,6,0
SKS02,SKS03,0,0.25,120,shaking,boundary_retained,4,profile_nrmse,6,-0.058298302490580475,-0.09474938839349697,-0.04037327341016728,6,0
SKS02,SKS03,0,0.25,120,shaking,original,2,peak_depth_error,6,0.21428571428571425,-0.14285714285714285,0.39999999999999747,2,4
SKS02,SKS03,0,0.25,120,shaking,original,2,peak_load_error,6,-0.14094178830440723,-0.20388871127295025,-0.10762856923780496,6,0
SKS02,SKS03,0,0.25,120,shaking,original,2,profile_nrmse,6,0.023315303262362135,-0.04986322194706347,0.053863656790048495,2,4
SKS02,SKS03,0,0.25,120,shaking,original,3,peak_depth_error,6,0.1071428571428571,0.0714285714285714,0.4285714285714285,0,6
SKS02,SKS03,0,0.25,120,shaking,original,3,peak_load_error,6,0.021225926397733193,-0.0068723962672914835,0.06650388344247284,1,5
SKS02,SKS03,0,0.25,120,shaking,original,3,profile_nrmse,6,-0.009650264226766625,-0.027046357733588516,-0.0011368766118742407,6,0
SKS02,SKS03,0,0.25,120,shaking,original,4,peak_depth_error,6,-0.4642857142857143,-0.7142857142857142,-0.35714285714285715,6,0
SKS02,SKS03,0,0.25,120,shaking,original,4,peak_load_error,6,-0.32086091741907297,-0.3719609588753725,-0.27856282077001454,6,0
SKS02,SKS03,0,0.25,120,shaking,original,4,profile_nrmse,6,-0.058298302490580475,-0.09474938839349697,-0.04037327341016728,6,0
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,2,peak_depth_error,5,0.21428571428571425,-0.0714285714285714,0.28571428571428564,1,4
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,2,peak_load_error,5,-0.022505029565596524,-0.09234145139013866,0.0051053668245029105,4,1
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,2,profile_nrmse,5,-0.004028114367116198,-0.03313277052379959,0.0053069922439576145,3,2
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,3,peak_load_error,5,0.038326420220684804,-0.001003134274437878,0.07552883858752185,1,4
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,3,profile_nrmse,5,-0.0005532691135497134,-0.01188162365487215,0.00854161739761293,3,2
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,4,peak_load_error,5,-0.30273902797016117,-0.33637026603177533,-0.27050935989176306,5,0
SKS02,SKS03,0,0.25,240,after_decay,boundary_retained,4,profile_nrmse,5,-0.059435495588767595,-0.08640535421903942,-0.03242475011769316,5,0
SKS02,SKS03,0,0.25,240,after_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.28571428571428564,0,5
SKS02,SKS03,0,0.25,240,after_decay,original,2,peak_load_error,5,-0.08394684546325679,-0.1835858878777967,-0.037159843120011915,5,0
SKS02,SKS03,0,0.25,240,after_decay,original,2,profile_nrmse,5,0.012171696364396467,-0.04208363096598158,0.04482853980945144,2,3
SKS02,SKS03,0,0.25,240,after_decay,original,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.25,240,after_decay,original,3,peak_load_error,5,0.038326420220684804,-0.001003134274437878,0.07552883858752185,1,4
SKS02,SKS03,0,0.25,240,after_decay,original,3,profile_nrmse,5,-0.0005532691135497134,-0.01188162365487215,0.00854161739761293,3,2
SKS02,SKS03,0,0.25,240,after_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,240,after_decay,original,4,peak_load_error,5,-0.30273902797016117,-0.33637026603177533,-0.27050935989176306,5,0
SKS02,SKS03,0,0.25,240,after_decay,original,4,profile_nrmse,5,-0.059435495588767595,-0.08640535421903942,-0.03242475011769316,5,0
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,2,peak_depth_error,5,0.4285714285714285,0.21428571428571425,0.4999999999999999,0,5
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,2,peak_load_error,5,-0.04017686106922952,-0.09973983746030968,0.026556021825980963,4,1
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,2,profile_nrmse,5,-0.020200195008128946,-0.04127316710303461,-0.0013845269726059373,5,0
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,3,peak_depth_error,5,0.22857142857142973,0.0714285714285714,0.35714285714285704,0,5
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,3,peak_load_error,5,0.028698789073141967,-0.028111067420672986,0.0773409270479507,1,4
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,3,profile_nrmse,5,-0.010330734706707534,-0.02344660340354146,-7.49598008771557e-05,5,0
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.3642857142857149,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,4,peak_load_error,5,-0.32958269722982925,-0.34997055275991074,-0.27599068514232405,5,0
SKS02,SKS03,0,0.25,240,before_decay,boundary_retained,4,profile_nrmse,5,-0.06131387240435679,-0.09520096872087437,-0.02408405398465769,5,0
SKS02,SKS03,0,0.25,240,before_decay,original,2,peak_depth_error,5,0.17142857142857384,0.14285714285714285,0.21428571428571425,0,5
SKS02,SKS03,0,0.25,240,before_decay,original,2,peak_load_error,5,-0.07304356196196446,-0.19850172405499703,0.004276249274588612,4,1
SKS02,SKS03,0,0.25,240,before_decay,original,2,profile_nrmse,5,0.007883597549497343,-0.04350390352220633,0.06223989142708107,2,3
SKS02,SKS03,0,0.25,240,before_decay,original,3,peak_depth_error,5,0.22857142857142973,0.0714285714285714,0.35714285714285704,0,5
SKS02,SKS03,0,0.25,240,before_decay,original,3,peak_load_error,5,0.028698789073141967,-0.028111067420672986,0.0773409270479507,1,4
SKS02,SKS03,0,0.25,240,before_decay,original,3,profile_nrmse,5,-0.010330734706707534,-0.02344660340354146,-7.49598008771557e-05,5,0
SKS02,SKS03,0,0.25,240,before_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.3642857142857149,-0.2142857142857143,5,0
SKS02,SKS03,0,0.25,240,before_decay,original,4,peak_load_error,5,-0.32958269722982925,-0.34997055275991074,-0.27599068514232405,5,0
SKS02,SKS03,0,0.25,240,before_decay,original,4,profile_nrmse,5,-0.06131387240435679,-0.09520096872087437,-0.02408405398465769,5,0
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,2,peak_depth_error,6,0.21428571428571425,0.1428571428571428,0.21428571428571425,0,6
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,2,peak_load_error,6,-0.09067518573674008,-0.11447198293287741,-0.0499191947305119,6,0
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,2,profile_nrmse,6,-0.004840658114165272,-0.043763804030799824,0.0035308075169441094,5,1
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,3,peak_depth_error,6,0.1071428571428571,0.0714285714285714,0.4285714285714285,0,6
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,3,peak_load_error,6,0.021391970789460084,-0.011097400137518296,0.07112007611312442,2,4
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,3,profile_nrmse,6,-0.00798602123628886,-0.027046025757697684,-0.0009555394656411004,6,0
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,4,peak_depth_error,6,-0.4642857142857143,-0.7142857142857142,-0.35714285714285715,6,0
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,4,peak_load_error,6,-0.3200935280286278,-0.37287242917875996,-0.27644420065307834,6,0
SKS02,SKS03,0,0.25,240,shaking,boundary_retained,4,profile_nrmse,6,-0.058654858233510146,-0.09412688903211552,-0.03948433501295142,6,0
SKS02,SKS03,0,0.25,240,shaking,original,2,peak_depth_error,6,0.17857142857142852,-0.14285714285714285,0.21428571428571425,2,4
SKS02,SKS03,0,0.25,240,shaking,original,2,peak_load_error,6,-0.1436490637471246,-0.2006729322709995,-0.11106483478966912,6,0
SKS02,SKS03,0,0.25,240,shaking,original,2,profile_nrmse,6,0.022968972391570648,-0.05011606145304989,0.05171113377380038,2,4
SKS02,SKS03,0,0.25,240,shaking,original,3,peak_depth_error,6,0.1071428571428571,0.0714285714285714,0.4285714285714285,0,6
SKS02,SKS03,0,0.25,240,shaking,original,3,peak_load_error,6,0.021391970789460084,-0.011097400137518296,0.07112007611312442,2,4
SKS02,SKS03,0,0.25,240,shaking,original,3,profile_nrmse,6,-0.00798602123628886,-0.027046025757697684,-0.0009555394656411004,6,0
SKS02,SKS03,0,0.25,240,shaking,original,4,peak_depth_error,6,-0.4642857142857143,-0.7142857142857142,-0.35714285714285715,6,0
SKS02,SKS03,0,0.25,240,shaking,original,4,peak_load_error,6,-0.3200935280286278,-0.37287242917875996,-0.27644420065307834,6,0
SKS02,SKS03,0,0.25,240,shaking,original,4,profile_nrmse,6,-0.058654858233510146,-0.09412688903211552,-0.03948433501295142,6,0
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,2,peak_depth_error,5,0.21428571428571425,-0.0714285714285714,0.28571428571428564,1,4
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,2,peak_load_error,5,-0.023315779390770425,-0.09178936244259454,0.005249522141114571,4,1
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,2,profile_nrmse,5,-0.004014799364164781,-0.03334069140022651,0.005032772174510827,3,2
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,3,peak_load_error,5,0.03775794512119762,-0.0013088258984070011,0.07613062953277495,1,4
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,3,profile_nrmse,5,-0.0005632266354322207,-0.011945032171793046,0.008072489431555849,3,2
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
