test,source,event,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,candidate,uniform,delta,piles
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,3,peak_load_error,0.3326111508807482,0.2934857296019649,0.03912542127878332,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,3,profile_nrmse,0.19801232541562325,0.19883897240677373,-0.0008266469911504953,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,4,peak_load_error,0.0,0.2934857296019649,-0.2934857296019649,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,4,profile_nrmse,0.14590638943425882,0.1888832556893308,-0.042976866255071966,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,2,peak_load_error,0.33260792266411554,0.38602361798653995,-0.05341569532242442,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,2,profile_nrmse,0.2113685640044417,0.21261000495118734,-0.0012414409467456228,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,3,peak_load_error,0.33260792266411554,0.29347528052845245,0.0391326421356631,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,3,profile_nrmse,0.19800836338389172,0.1988358056504987,-0.000827442266606998,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,4,peak_load_error,0.0,0.29347528052845245,-0.29347528052845245,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,boundary_retained,4,profile_nrmse,0.1459038726576947,0.18888053409423772,-0.042976661436543016,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,original,2,peak_load_error,0.2605341375799882,0.38602361798653995,-0.12548948040655178,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,original,2,profile_nrmse,0.254689939224527,0.21261000495118734,0.042079934273339614,2
SKS02,SKS03,EQM_1,1,0.75,120,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
