test,source,event,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,candidate,uniform,delta,piles
SKS02,SKS03,EQM_1,0,0.5,120,shaking,boundary_retained,4,profile_nrmse,0.1472720923140188,0.1901791952982932,-0.04290710298427439,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,2,peak_load_error,0.2658347557189136,0.38936878560744015,-0.12353402988852659,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,2,profile_nrmse,0.2563017205042754,0.21529807897035522,0.04100364153392021,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,3,peak_load_error,0.3379051606871863,0.3008368898567324,0.0370682708304539,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,3,profile_nrmse,0.19937478373668094,0.2005116603485552,-0.0011368766118742407,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,4,peak_load_error,0.0,0.3008368898567324,-0.3008368898567324,2
SKS02,SKS03,EQM_1,0,0.5,120,shaking,original,4,profile_nrmse,0.1472720923140188,0.1901791952982932,-0.04290710298427439,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,2,peak_load_error,0.33933800813469994,0.3892572028652118,-0.0499191947305119,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,2,profile_nrmse,0.21323031421385827,0.21547105285305224,-0.0022407386391939538,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,3,peak_load_error,0.33933800813469994,0.3008503712994198,0.03848763683528014,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,3,profile_nrmse,0.1995174440769749,0.200472983542616,-0.0009555394656411004,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,4,peak_load_error,0.0,0.3008503712994198,-0.3008503712994198,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,boundary_retained,4,profile_nrmse,0.14738523434674666,0.1903865747876086,-0.04300134044086192,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,2,peak_load_error,0.2666499314977172,0.3892572028652118,-0.12260727136749464,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,2,profile_nrmse,0.25611101199832664,0.21547105285305224,0.040639959145274435,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,3,peak_load_error,0.33933800813469994,0.3008503712994198,0.03848763683528014,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,3,profile_nrmse,0.1995174440769749,0.200472983542616,-0.0009555394656411004,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,4,peak_load_error,0.0,0.3008503712994198,-0.3008503712994198,2
SKS02,SKS03,EQM_1,0,0.5,240,shaking,original,4,profile_nrmse,0.14738523434674666,0.1903865747876086,-0.04300134044086192,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,2,peak_load_error,0.3379051606871863,0.38936878560744015,-0.051463624920253845,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,2,profile_nrmse,0.21305075619107905,0.21529807897035522,-0.0022473227792761535,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,3,peak_load_error,0.3379051606871863,0.3008368898567324,0.0370682708304539,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,3,profile_nrmse,0.19937478373668094,0.2005116603485552,-0.0011368766118742407,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,4,peak_load_error,0.0,0.3008368898567324,-0.3008368898567324,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,boundary_retained,4,profile_nrmse,0.1472720923140188,0.1901791952982932,-0.04290710298427439,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,2,peak_load_error,0.2658347557189136,0.38936878560744015,-0.12353402988852659,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,2,profile_nrmse,0.2563017205042754,0.21529807897035522,0.04100364153392021,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,3,peak_load_error,0.3379051606871863,0.3008368898567324,0.0370682708304539,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,3,profile_nrmse,0.19937478373668094,0.2005116603485552,-0.0011368766118742407,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,4,peak_load_error,0.0,0.3008368898567324,-0.3008368898567324,2
SKS02,SKS03,EQM_1,0,0.75,120,shaking,original,4,profile_nrmse,0.1472720923140188,0.1901791952982932,-0.04290710298427439,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,2,peak_load_error,0.33933800813469994,0.3892572028652118,-0.0499191947305119,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,2,profile_nrmse,0.21323031421385827,0.21547105285305224,-0.0022407386391939538,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,3,peak_load_error,0.33933800813469994,0.3008503712994198,0.03848763683528014,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,3,profile_nrmse,0.1995174440769749,0.200472983542616,-0.0009555394656411004,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,4,peak_load_error,0.0,0.3008503712994198,-0.3008503712994198,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,boundary_retained,4,profile_nrmse,0.14738523434674666,0.1903865747876086,-0.04300134044086192,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,2,peak_load_error,0.2666499314977172,0.3892572028652118,-0.12260727136749464,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,2,profile_nrmse,0.25611101199832664,0.21547105285305224,0.040639959145274435,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,3,peak_load_error,0.33933800813469994,0.3008503712994198,0.03848763683528014,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,3,profile_nrmse,0.1995174440769749,0.200472983542616,-0.0009555394656411004,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,4,peak_load_error,0.0,0.3008503712994198,-0.3008503712994198,2
SKS02,SKS03,EQM_1,0,0.75,240,shaking,original,4,profile_nrmse,0.14738523434674666,0.1903865747876086,-0.04300134044086192,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,2,peak_load_error,0.33260792266411554,0.38602361798653995,-0.05341569532242442,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,2,profile_nrmse,0.2113685640044417,0.21261000495118734,-0.0012414409467456228,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,3,peak_load_error,0.33260792266411554,0.29347528052845245,0.0391326421356631,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,3,profile_nrmse,0.19800836338389172,0.1988358056504987,-0.000827442266606998,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,4,peak_load_error,0.0,0.29347528052845245,-0.29347528052845245,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,boundary_retained,4,profile_nrmse,0.1459038726576947,0.18888053409423772,-0.042976661436543016,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,2,peak_load_error,0.2605341375799882,0.38602361798653995,-0.12548948040655178,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,2,profile_nrmse,0.254689939224527,0.21261000495118734,0.042079934273339614,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,3,peak_load_error,0.33260792266411554,0.29347528052845245,0.0391326421356631,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,3,profile_nrmse,0.19800836338389172,0.1988358056504987,-0.000827442266606998,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,4,peak_load_error,0.0,0.29347528052845245,-0.29347528052845245,2
SKS02,SKS03,EQM_1,1,0.25,120,shaking,original,4,profile_nrmse,0.1459038726576947,0.18888053409423772,-0.042976661436543016,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,2,peak_load_error,0.3326111508807482,0.38602805323594347,-0.05341690235519525,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,2,profile_nrmse,0.21136790740588476,0.21260734848527763,-0.0012394410793928612,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,3,peak_load_error,0.3326111508807482,0.2934857296019649,0.03912542127878332,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,3,profile_nrmse,0.19801232541562325,0.19883897240677373,-0.0008266469911504953,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,4,peak_load_error,0.0,0.2934857296019649,-0.2934857296019649,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,boundary_retained,4,profile_nrmse,0.14590638943425882,0.1888832556893308,-0.042976866255071966,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,2,peak_load_error,0.26052832945926374,0.38602805323594347,-0.12549972377667976,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,2,profile_nrmse,0.25469271394811865,0.21260734848527763,0.04208536546284103,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,3,peak_load_error,0.3326111508807482,0.2934857296019649,0.03912542127878332,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,3,profile_nrmse,0.19801232541562325,0.19883897240677373,-0.0008266469911504953,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,4,peak_load_error,0.0,0.2934857296019649,-0.2934857296019649,2
SKS02,SKS03,EQM_1,1,0.25,240,shaking,original,4,profile_nrmse,0.14590638943425882,0.1888832556893308,-0.042976866255071966,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,2,peak_load_error,0.33260792266411554,0.38602361798653995,-0.05341569532242442,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,2,profile_nrmse,0.2113685640044417,0.21261000495118734,-0.0012414409467456228,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,3,peak_load_error,0.33260792266411554,0.29347528052845245,0.0391326421356631,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,3,profile_nrmse,0.19800836338389172,0.1988358056504987,-0.000827442266606998,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,4,peak_load_error,0.0,0.29347528052845245,-0.29347528052845245,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,boundary_retained,4,profile_nrmse,0.1459038726576947,0.18888053409423772,-0.042976661436543016,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,2,peak_load_error,0.2605341375799882,0.38602361798653995,-0.12548948040655178,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,2,profile_nrmse,0.254689939224527,0.21261000495118734,0.042079934273339614,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,3,peak_load_error,0.33260792266411554,0.29347528052845245,0.0391326421356631,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,3,profile_nrmse,0.19800836338389172,0.1988358056504987,-0.000827442266606998,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,4,peak_load_error,0.0,0.29347528052845245,-0.29347528052845245,2
SKS02,SKS03,EQM_1,1,0.5,120,shaking,original,4,profile_nrmse,0.1459038726576947,0.18888053409423772,-0.042976661436543016,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,2,peak_load_error,0.3326111508807482,0.38602805323594347,-0.05341690235519525,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,2,profile_nrmse,0.21136790740588476,0.21260734848527763,-0.0012394410793928612,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,3,peak_load_error,0.3326111508807482,0.2934857296019649,0.03912542127878332,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,3,profile_nrmse,0.19801232541562325,0.19883897240677373,-0.0008266469911504953,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.35714285714285715,-0.35714285714285715,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,4,peak_load_error,0.0,0.2934857296019649,-0.2934857296019649,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,boundary_retained,4,profile_nrmse,0.14590638943425882,0.1888832556893308,-0.042976866255071966,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,2,peak_depth_error,0.42857142857142855,0.2142857142857143,0.21428571428571425,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,2,peak_load_error,0.26052832945926374,0.38602805323594347,-0.12549972377667976,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,2,profile_nrmse,0.25469271394811865,0.21260734848527763,0.04208536546284103,2
SKS02,SKS03,EQM_1,1,0.5,240,shaking,original,3,peak_depth_error,0.42857142857142855,0.35714285714285715,0.0714285714285714,2
