source,case,depth,depth_unit,load_unit,load,digitisation_replicates,digitisation_range,quality_class,normalised_depth,figure_image,physical_depth,digitisation_kind,marker_colour,digitised_pixel_x_sd,digitised_pixels
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,238.77635782747603,,,,0.06999999999999999,fhwa_p10.png,0.6789999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,235.98594249201275,,,,0.08000000000000003,fhwa_p10.png,0.7760000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,233.55191693290735,,,,0.08999999999999994,fhwa_p10.png,0.8729999999999993,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,230.92571884984025,,,,0.09999999999999998,fhwa_p10.png,0.9699999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,228.59424920127796,,,,0.11000000000000001,fhwa_p10.png,1.0670000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,225.65997261524421,,,,0.12000000000000005,fhwa_p10.png,1.1640000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,223.56230031948883,,,,0.12999999999999995,fhwa_p10.png,1.2609999999999995,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,220.92651757188497,,,,0.13999999999999999,fhwa_p10.png,1.3579999999999997,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,218.26895149578857,,,,0.15000000000000002,fhwa_p10.png,1.455,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,215.7740342724368,,,,0.16000000000000006,fhwa_p10.png,1.5520000000000005,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,213.2791170490851,,,,0.16999999999999996,fhwa_p10.png,1.6489999999999994,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,210.7841998257333,,,,0.18,fhwa_p10.png,1.7459999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,208.07987220447282,,,,0.19000000000000003,fhwa_p10.png,1.8430000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,205.2076677316294,,,,0.19999999999999996,fhwa_p10.png,1.9399999999999995,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,203.2549520766773,,,,0.21,fhwa_p10.png,2.037,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,201.05942492012778,,,,0.22000000000000003,fhwa_p10.png,2.1340000000000003,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,200.55910543130992,,,,0.22999999999999993,fhwa_p10.png,2.230999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,200.07987220447285,,,,0.23999999999999996,fhwa_p10.png,2.3279999999999994,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,199.8402555910543,,,,0.25,fhwa_p10.png,2.425,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,199.41214057507986,,,,0.26000000000000006,fhwa_p10.png,2.5220000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,198.8817891373802,,,,0.2700000000000001,fhwa_p10.png,2.6190000000000007,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,198.64217252396165,,,,0.27999999999999997,fhwa_p10.png,2.7159999999999993,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,198.8817891373802,,,,0.29000000000000004,fhwa_p10.png,2.813,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,197.7555910543131,,,,0.30000000000000004,fhwa_p10.png,2.91,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,197.44408945686902,,,,0.30999999999999994,fhwa_p10.png,3.0069999999999992,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,196.96485623003196,,,,0.32,fhwa_p10.png,3.1039999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,196.96485623003196,,,,0.33,fhwa_p10.png,3.201,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,195.96876109336173,,,,0.3399999999999999,fhwa_p10.png,3.2979999999999987,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,195.6638267660632,,,,0.35,fhwa_p10.png,3.3949999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,195.35889243876466,,,,0.36,fhwa_p10.png,3.4919999999999995,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,195.05395811146607,,,,0.36999999999999994,fhwa_p10.png,3.588999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,194.08945686900958,,,,0.38000000000000006,fhwa_p10.png,3.6860000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,194.08945686900958,,,,0.39,fhwa_p10.png,3.783,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,193.59105431309908,,,,0.4,fhwa_p10.png,3.88,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,193.13099041533548,,,,0.4100000000000001,fhwa_p10.png,3.9770000000000008,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,192.62735986058672,,,,0.42,fhwa_p10.png,4.074,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,192.17252396166134,,,,0.43,fhwa_p10.png,4.170999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,191.69648562300318,,,,0.44000000000000006,fhwa_p10.png,4.268000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,191.2140575079872,,,,0.44999999999999996,fhwa_p10.png,4.364999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,191.18722044728432,,,,0.45999999999999996,fhwa_p10.png,4.462,published measured trace,,,
