source_project,added_budget_b,total_retained_stations_ns,heldout_events,exact_layout_match_rate,candidate_better_events,median_heldout_delta_candidate_minus_uniform,min_heldout_delta,max_heldout_delta
SKS02,2,3,6,1.0,5,-0.01436982327023334,-0.05721758454019632,0.019206432053695432
SKS02,3,4,6,1.0,6,-0.023321873494812795,-0.027332028761486327,-0.007559477616916249
SKS02,4,5,6,1.0,6,-0.12217760551995879,-0.149128927038414,-0.08457678590645414
SKS03,2,3,5,0.8,5,-0.16199273292801125,-0.21301850094527439,-0.12633071007146265
SKS03,3,4,5,0.6,5,-0.07566523593512106,-0.11008921350804984,-0.05640357936273818
SKS03,4,5,5,0.8,5,-0.09229065999174524,-0.11435571636724903,-0.06890248261404529
