test,event,piles,cross_regime,static_PRJ4809,uniform,additional_stations_b,training_test_for_cross_regime,cross_regime_minus_uniform,static_PRJ4809_minus_uniform,pga_g,input_motion_samples,input_motion_source_file,keller_sensor_count,median_sensor_peak_ru,p90_sensor_peak_ru,maximum_observed_ru,keller_source_file,median_absolute_final_soil_settlement_mm,median_absolute_final_pile_settlement_mm,settlement_source_file
SKS02,EQM_2,2,0.20737898253767156,0.19074170400186757,0.21197813222844952,3,SKS03,-0.004599149690777959,-0.02123642822658195,0.13858,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Input_Motion.txt,10,0.368005,0.7231279999999999,1.01822,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,25.195085,5.258625,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Settlement.txt
SKS02,EQM_3,2,0.2025006090159742,0.1842240344578422,0.213648190526706,3,SKS03,-0.011147581510731808,-0.02942415606886381,0.23596,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Input_Motion.txt,10,0.7238899999999999,1.0188949999999999,1.1021,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,72.309535,7.677810000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Settlement.txt
SKS02,EQM_4,2,0.19736083987325875,0.18929614856292515,0.1987445837610953,3,SKS03,-0.0013837438878365471,-0.009448435198170152,0.12231,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Input_Motion.txt,10,0.224105,0.4363279999999998,0.92924,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,26.97471,4.135585000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Settlement.txt
SKS02,EQM_5,2,0.17570510484556615,0.20359020829571872,0.1985155305588065,3,SKS03,-0.02281042571324035,0.005074677736912225,0.31233,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Input_Motion.txt,10,0.825975,1.1516319999999998,1.72882,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,84.69348,64.103765,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Settlement.txt
SKS02,EQM_6,2,0.1877025498967997,0.1790794778745646,0.19488332919182388,3,SKS03,-0.007180779295024198,-0.015803851317259282,0.39314,11250,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Input_Motion.txt,10,0.681195,1.019045,1.10387,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Keller_Excess_Pore_Pressure_Ratio.txt,70.37016,35.349505,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Settlement.txt
SKS03,EQM_1,2,0.09895492686064,0.168132903796168,0.1412397980865316,3,SKS02,-0.042284871225891585,0.026893105709636406,0.08533,3750,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Input_Motion.txt,11,0.27178,1.13582,1.16973,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_2,2,0.09797233267943675,0.18514194858454236,0.1419427172681408,3,SKS02,-0.04397038458870406,0.04319923131640155,0.12988,3750,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Input_Motion.txt,11,0.32848,1.15429,1.17911,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_3,2,0.0941541075885583,0.20946149731732017,0.14924807600873055,3,SKS02,-0.05509396842017225,0.060213421308589615,0.18197,3750,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Input_Motion.txt,11,0.46351,1.15321,1.18051,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_4,2,0.071360027973593,0.2109389364375827,0.15196508764937475,3,SKS02,-0.08060505967578174,0.058973848788207966,0.4518,11250,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Input_Motion.txt,11,0.97209,1.23663,1.37256,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_5,2,0.10398976103780279,0.2057683113307255,0.17960361123072105,3,SKS02,-0.07561385019291826,0.026164700100004462,0.67726,11250,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Input_Motion.txt,11,1.05061,1.51094,1.64135,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,,,
