case,evidence_class,layout_family,interpolator,layout_source,additional_stations_b,total_retained_stations,candidate_requested_depths,candidate_realised_depths,candidate_unique_levels,uniform_requested_depths,uniform_realised_depths,uniform_unique_levels,candidate_nrmse,uniform_nrmse,delta_nrmse,candidate_retains_deepest_level
Christchurch 12-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.140;0.570;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.023373966291851386,0.014293499549810327,0.00908046674204106,1
Christchurch 12-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.140;0.570;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.02245791711504038,0.018817290891908697,0.0036406262231316842,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,linear,SKS02,2,3,0.000;0.143;0.429,0.000;0.140;0.430,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.2114541806475113,0.03831235205699492,0.17314182859051636,0
Christchurch 14-m CFA pile post-blast,published CFA trace,original,pchip,SKS02,2,3,0.000;0.143;0.429,0.000;0.140;0.430,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.21164915639203177,0.031631873255730594,0.18001728313630116,0
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS02,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.08569842146805522,0.03831235205699492,0.0473860694110603,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS02,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.03431689244081153,0.031631873255730594,0.0026850191850809335,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,linear,SKS03,2,3,0.000;0.143;0.714,0.000;0.140;0.710,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.12156739375492241,0.03831235205699492,0.0832550416979275,0
Christchurch 14-m CFA pile post-blast,published CFA trace,original,pchip,SKS03,2,3,0.000;0.143;0.714,0.000;0.140;0.710,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.1208234760667681,0.031631873255730594,0.08919160281103751,0
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS03,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.08569842146805522,0.03831235205699492,0.0473860694110603,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS03,2,3,0.000;0.143;1.000,0.000;0.140;1.000,3,0.000;0.500;1.000,0.000;0.500;1.000,3,0.03431689244081153,0.031631873255730594,0.0026850191850809335,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,linear,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.140;0.710;0.860,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.051054652626910536,0.03031386263735211,0.020740789989558427,0
Christchurch 14-m CFA pile post-blast,published CFA trace,original,pchip,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.140;0.710;0.860,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.04929067986402523,0.03369492288350202,0.015595756980523214,0
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS02,3,4,0.000;0.143;0.429;1.000,0.000;0.140;0.430;1.000,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.0574758159467449,0.03031386263735211,0.027161953309392788,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS02,3,4,0.000;0.143;0.429;1.000,0.000;0.140;0.430;1.000,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.04402371300951502,0.03369492288350202,0.010328790126013003,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,linear,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.140;0.430;1.000,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.0574758159467449,0.03031386263735211,0.027161953309392788,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,pchip,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.140;0.430;1.000,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.04402371300951502,0.03369492288350202,0.010328790126013003,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.140;0.430;1.000,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.0574758159467449,0.03031386263735211,0.027161953309392788,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.140;0.430;1.000,4,0.000;0.333;0.667;1.000,0.000;0.330;0.670;1.000,4,0.04402371300951502,0.03369492288350202,0.010328790126013003,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,linear,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.140;0.710;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.03413517764045897,0.031748399949261576,0.0023867776911973976,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,pchip,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.140;0.710;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.03141619331322885,0.03214599333227523,-0.0007298000190463852,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.140;0.710;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.03413517764045897,0.031748399949261576,0.0023867776911973976,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.140;0.710;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.03141619331322885,0.03214599333227523,-0.0007298000190463852,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.140;0.570;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.02960208711860103,0.031748399949261576,-0.0021463128306605447,1
Christchurch 14-m CFA pile post-blast,published CFA trace,original,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.140;0.570;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.032575773570444125,0.03214599333227523,0.000429780238168892,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.140;0.570;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.02960208711860103,0.031748399949261576,-0.0021463128306605447,1
Christchurch 14-m CFA pile post-blast,published CFA trace,boundary_constrained,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.140;0.570;0.860;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.250;0.500;0.750;1.000,5,0.032575773570444125,0.03214599333227523,0.000429780238168892,1
