training_test,evaluation_test,direction,additional_stations_b,smoothing,smoothing_multiplier,normalisation_floor_mn,specification,selected_gage_indices_top_to_bottom,selected_normalised_depths,event,piles_aggregated,candidate_event_p90_nrmse,uniform_event_p90_nrmse,candidate_minus_uniform
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,EQM_2,2,0.26392554062982493,0.22275388384884381,0.041171656780981114
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,EQM_3,2,0.2724171545816851,0.2111145274417291,0.061302627139955976
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,EQM_4,2,0.20848642061296352,0.25329961248924215,-0.04481319187627861
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,EQM_5,2,0.21062367554789377,0.2293220966037927,-0.01869842105589896
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,EQM_6,2,0.2181739593014265,0.21213094543750194,0.006043013863924543
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_1,2,0.1986536737121933,0.1997858676638083,-0.001132193951614971
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_2,2,0.2077000523479378,0.2113697632086417,-0.003669710860703862
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_3,2,0.20249812683465754,0.2135455852234962,-0.011047458388838652
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_4,2,0.19783611087542577,0.19883815048714826,-0.0010020396117224883
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_5,2,0.17458280126052222,0.19871317661902582,-0.024130375358503625
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.1,none; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_6,2,0.18813859734336452,0.19517196539654616,-0.007033368053181638
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_1,2,0.14723571847472344,0.18959745499282082,-0.04236173651809739
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_2,2,0.15730938727726937,0.2016569831327517,-0.044347595855482355
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_3,2,0.16851723329639157,0.19433235580233363,-0.025815122505942062
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_4,2,0.10146013184535248,0.19721435745953975,-0.09575422561418725
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_5,2,0.13206060192976776,0.1975749990309926,-0.06551439710122484
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.1,none; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_6,2,0.1287287067610276,0.19251709714639442,-0.06378839038536681
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,EQM_1,2,0.13028268247272917,0.23016409933058435,-0.0998814168578552
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,EQM_2,2,0.13526817336973074,0.25077393127520886,-0.11550575790547812
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,EQM_3,2,0.12566761166362198,0.27990011963387773,-0.15423250797025576
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,EQM_4,2,0.13417219403128333,0.29318553600947006,-0.15901334197818667
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,EQM_5,2,0.21081681846149306,0.2891395748934412,-0.07832275643194815
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_1,2,0.09893603998089366,0.14138835387463683,-0.04245231389374317
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_2,2,0.09796946943682128,0.14194151890815782,-0.04397204947133653
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_3,2,0.09419675739954117,0.14948517827973173,-0.05528842088019055
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_4,2,0.071193899589488,0.15201053315339197,-0.08081663356390398
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_5,2,0.10397695809561566,0.17961897713232022,-0.07564201903670453
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_1,2,0.06814438652249598,0.12781234601267807,-0.059667959490182096
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_2,2,0.05312245869630804,0.13923624829450273,-0.08611378959819468
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_3,2,0.04447932159468118,0.14799239393545216,-0.10351307234077098
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_4,2,0.03517470638275664,0.1524303579867019,-0.11725565160394527
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_5,2,0.08674595082589007,0.1551270883041192,-0.06838113747822913
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,EQM_1,2,0.25458904071483807,0.21273178777963864,0.04185725293519943
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,EQM_2,2,0.2642144420440958,0.2228627803003666,0.04135166174372917
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,EQM_3,2,0.2722179327447325,0.2110462031938728,0.06117172955085973
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,EQM_4,2,0.20848562701169465,0.2531097723235081,-0.04462414531181347
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,EQM_5,2,0.2106677509123877,0.22897807668224757,-0.01831032576985986
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,EQM_6,2,0.21724742587058216,0.21195388512868818,0.005293540741894004
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_1,2,0.19781867438557138,0.1990782876354193,-0.001259613249847913
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_2,2,0.2073420537344059,0.2119183999578979,-0.004576346223491984
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_3,2,0.2024816682832455,0.2137064970644244,-0.011224828781178947
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_4,2,0.19737277608894652,0.19881113567342548,-0.0014383595844789654
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_5,2,0.17704304810596802,0.19878116924353872,-0.021738121137570718
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_6,2,0.18753766068492067,0.19521556050511832,-0.007677899820197662
SKS03,SKS02,SKS03 to SKS02,4,half_reported,0.5,0.025,half_reported; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_1,2,0.14615757441048044,0.1890568720004095,-0.04289929758992905
