reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,pile,stages,median_paired_delta,median_candidate_nrmse,median_uniform_nrmse,median_distance_weighted_delta,median_outside_sse_fraction,median_delta_squared_error_inside,median_delta_squared_error_outside
0.2,boundary_constrained,pchip,SKS03,3,F2,12,-0.00031146126777393743,0.05009031431876643,0.04883946242006388,-0.0007141837111024583,0.0,-3.055397457934587e-05,0.0
0.2,boundary_constrained,pchip,SKS03,3,T1,15,0.019574884325751364,0.0642710356279748,0.04350943349392678,0.017138589236470554,0.0,0.0019013132235203168,0.0
0.2,boundary_constrained,pchip,SKS03,3,T2,8,0.005720411280193426,0.027805923147645253,0.018975531155331946,0.0036802178940925235,0.0,0.0002755558446711806,0.0
0.2,boundary_constrained,pchip,SKS03,3,T3,6,0.012612743901271865,0.04633572185983306,0.03622273462011272,0.012539047579333759,0.0,0.0010290289902408255,0.0
0.2,boundary_constrained,pchip,SKS03,4,F1,12,-0.009735975273579691,0.037297518851526365,0.046476064892374755,-0.010973211085037213,0.0,-0.0008209776900800706,0.0
0.2,boundary_constrained,pchip,SKS03,4,F2,12,-0.006456085084484826,0.05144894683597911,0.058344481325645584,-0.010714571215705182,0.0,-0.0007076974348224543,0.0
0.2,boundary_constrained,pchip,SKS03,4,T1,15,-0.011080120585483789,0.022988725458566974,0.03290850647867807,-0.010801365216643665,0.0,-0.0005622059251489625,0.0
0.2,boundary_constrained,pchip,SKS03,4,T2,8,0.00597746394333099,0.0255301092288574,0.02077565953188197,0.004347224265584836,0.0,0.00023681339512135891,0.0
0.2,boundary_constrained,pchip,SKS03,4,T3,6,0.005687910960022153,0.03940022918006186,0.034249760626638856,0.005629264469943714,0.0,0.00043479705206735564,0.0
0.2,original,linear,SKS02,2,F1,12,0.1428476484509943,0.18604144570231979,0.043181377752204216,0.13100167688913045,0.9941305741040644,-0.00010119538861664553,0.032703701229732304
0.2,original,linear,SKS02,2,F2,12,0.15442754582916635,0.20405894800241287,0.05015942512958891,0.1404381244945049,0.9960058333178216,-0.0004003773267859138,0.03956560155084253
0.2,original,linear,SKS02,2,T1,15,0.11107746179661765,0.21331876682025894,0.10110269137397947,0.08560868438719037,0.9987456222707479,-6.722440694979632e-05,0.03492769733014115
0.2,original,linear,SKS02,2,T2,8,0.19705560122363344,0.24466265331032544,0.04900383665623914,0.17855222938861076,0.9984700152689359,-6.999711392614025e-05,0.058052968346061565
0.2,original,linear,SKS02,2,T3,6,0.16394590044872215,0.20579064157282823,0.043397731153020536,0.15867214260877233,0.990357621743779,-0.00018013360185675808,0.04075894321559695
0.2,original,linear,SKS02,3,F1,12,0.018066347574108365,0.06258390882629436,0.04655748933178984,0.012512154033942922,0.5290181921268262,0.0006750586722023683,0.0013717363896059613
0.2,original,linear,SKS02,3,F2,12,0.00341767054357121,0.053543978254242286,0.049856725667671534,-0.001205840846924336,0.4474976315632415,-0.0004213228365926951,0.0007242436088374449
0.2,original,linear,SKS02,3,T1,15,0.034532899243912535,0.10121637040626126,0.06874978110237052,0.020230740086695412,0.8205885820374276,-0.0006502086853482563,0.00607437803147244
0.2,original,linear,SKS02,3,T2,8,0.03143610830086836,0.05914834299017964,0.029535898394819973,0.02577785720110927,0.7370930162473006,0.0002106045286473417,0.0021649090053783527
0.2,original,linear,SKS02,3,T3,6,0.017639648116519302,0.05395936337562329,0.03567421576257008,0.015204277771410112,0.20760684225335999,0.0013315737618345602,-3.982559687882849e-06
0.2,original,linear,SKS02,4,F1,12,0.0018164358209369902,0.04553552847422204,0.04521688300855199,0.0003393935413809959,0.0,0.00016256734461847874,0.0
0.2,original,linear,SKS02,4,F2,12,-0.013542450362827713,0.04110500152792356,0.05418144625682509,-0.01802099735858549,0.0,-0.0012617537491437136,0.0
0.2,original,linear,SKS02,4,T1,15,-0.005288442112376238,0.04522774050381988,0.051709368105864455,-0.004877921400441701,0.0,-0.0005063361950320059,0.0
0.2,original,linear,SKS02,4,T2,8,0.004746585855178818,0.03019022920026515,0.025534200490468784,0.003626543500593318,0.0,0.00025336961609424786,0.0
0.2,original,linear,SKS02,4,T3,6,0.015301856266681266,0.0494461851440908,0.03385703777149804,0.015201611267872579,0.0,0.0012861365318039613,0.0
0.2,original,linear,SKS03,2,F1,12,0.017533112291581363,0.06170567300680785,0.043181377752204216,0.011526755966999949,0.58239124066417,0.0009724841554835276,0.0009539439028344472
0.2,original,linear,SKS03,2,F2,12,0.00484667684217609,0.0545090589556457,0.05015942512958891,-0.001493879041502607,0.5833818142316112,-2.825561581882907e-05,0.0005112469976380891
0.2,original,linear,SKS03,2,T1,15,0.02113357545079632,0.13051290396082352,0.10110269137397947,0.007451401695147936,0.8961867009616731,8.589018930078389e-05,0.005057629994045661
0.2,original,linear,SKS03,2,T2,8,0.08345820310965674,0.13178121568370826,0.04900383665623914,0.07368638429244297,0.9511974587037433,-1.800789510859064e-05,0.014817084744500553
0.2,original,linear,SKS03,2,T3,6,0.03115547654793932,0.07022471273110058,0.043397731153020536,0.028135729390913154,0.5374168559172492,0.001093799410280421,0.0020849507721237177
0.2,original,linear,SKS03,3,F1,12,0.001874283762245986,0.047189452764811235,0.04655748933178984,0.0011069565091863208,0.0,0.00017316423404305388,0.0
0.2,original,linear,SKS03,3,F2,12,-0.0023318677570519156,0.046215308060018716,0.049856725667671534,-0.003486408288077017,0.0,-0.00022443259726680307,0.0
0.2,original,linear,SKS03,3,T1,15,0.05183287327453932,0.11738042352293715,0.06874978110237052,0.0471756571531067,0.0,0.009524570450428059,0.0
0.2,original,linear,SKS03,3,T2,8,0.023982796400829627,0.05185930177892112,0.029535898394819973,0.02174970728623538,0.0,0.00198359553664843,0.0
