selection_test,evaluation_test,direction,event,additional_stations_b,metric,metric_label,candidate_event_value,uniform_event_value,paired_delta_candidate_minus_uniform
SKS03,SKS02,SKS03→SKS02,EQM_1,4,cluster_p90_nrmse,p90 profile NRMSE,0.1461635186546904,0.18903626084190506,-0.04287274218721465
SKS03,SKS02,SKS03→SKS02,EQM_2,4,cluster_p90_nrmse,p90 profile NRMSE,0.1582920714303957,0.2019175719512586,-0.04362550052086289
SKS03,SKS02,SKS03→SKS02,EQM_3,4,cluster_p90_nrmse,p90 profile NRMSE,0.1690762424801514,0.19440662996481906,-0.02533038748466765
SKS03,SKS02,SKS03→SKS02,EQM_4,4,cluster_p90_nrmse,p90 profile NRMSE,0.10050750956844369,0.19712908526669098,-0.0966215756982473
SKS03,SKS02,SKS03→SKS02,EQM_5,4,cluster_p90_nrmse,p90 profile NRMSE,0.1308464028490543,0.19710214498151168,-0.06625574213245738
SKS03,SKS02,SKS03→SKS02,EQM_6,4,cluster_p90_nrmse,p90 profile NRMSE,0.1287544245433955,0.1921189191642671,-0.0633644946208716
SKS03,SKS02,SKS03→SKS02,EQM_1,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.2993068276634476,-0.2993068276634476
SKS03,SKS02,SKS03→SKS02,EQM_2,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.31128547672370954,-0.31128547672370954
SKS03,SKS02,SKS03→SKS02,EQM_3,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.32742255313541657,-0.32742255313541657
SKS03,SKS02,SKS03→SKS02,EQM_4,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.26413670018099294,-0.26413670018099294
SKS03,SKS02,SKS03→SKS02,EQM_5,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.3281021198347705,-0.3281021198347705
SKS03,SKS02,SKS03→SKS02,EQM_6,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.34966961043358125,-0.34966961043358125
SKS03,SKS02,SKS03→SKS02,EQM_1,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.35714285714285715,-0.35714285714285715
SKS03,SKS02,SKS03→SKS02,EQM_2,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.35714285714285715,-0.35714285714285715
SKS03,SKS02,SKS03→SKS02,EQM_3,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.2142857142857143,-0.2142857142857143
SKS03,SKS02,SKS03→SKS02,EQM_4,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.35714285714285715,-0.35714285714285715
SKS03,SKS02,SKS03→SKS02,EQM_5,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.42857142857142855,-0.42857142857142855
SKS03,SKS02,SKS03→SKS02,EQM_6,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.5714285714285714,-0.5714285714285714
SKS03,SKS02,SKS03→SKS02,EQM_1,5,cluster_p90_nrmse,p90 profile NRMSE,0.1433209618013022,0.1433209618013022,0.0
SKS03,SKS02,SKS03→SKS02,EQM_2,5,cluster_p90_nrmse,p90 profile NRMSE,0.15281621755187108,0.15281621755187108,0.0
SKS03,SKS02,SKS03→SKS02,EQM_3,5,cluster_p90_nrmse,p90 profile NRMSE,0.16233002062582033,0.16233002062582033,0.0
SKS03,SKS02,SKS03→SKS02,EQM_4,5,cluster_p90_nrmse,p90 profile NRMSE,0.0974110033681247,0.0974110033681247,0.0
SKS03,SKS02,SKS03→SKS02,EQM_5,5,cluster_p90_nrmse,p90 profile NRMSE,0.1289338953741574,0.1289338953741574,0.0
SKS03,SKS02,SKS03→SKS02,EQM_6,5,cluster_p90_nrmse,p90 profile NRMSE,0.1270914478111035,0.1270914478111035,0.0
SKS03,SKS02,SKS03→SKS02,EQM_1,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_2,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_3,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_4,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_5,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_6,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_1,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_2,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_3,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_4,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_5,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.0,0.0
SKS03,SKS02,SKS03→SKS02,EQM_6,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0,0.0,0.0
SKS02,SKS03,SKS02→SKS03,EQM_1,2,cluster_p90_nrmse,p90 profile NRMSE,0.13026806686853865,0.23024907637267517,-0.09998100950413652
SKS02,SKS03,SKS02→SKS03,EQM_2,2,cluster_p90_nrmse,p90 profile NRMSE,0.1352460575742917,0.25083962724641173,-0.11559356967212003
SKS02,SKS03,SKS02→SKS03,EQM_3,2,cluster_p90_nrmse,p90 profile NRMSE,0.12568177348965645,0.27918867932158387,-0.15350690583192741
SKS02,SKS03,SKS02→SKS03,EQM_4,2,cluster_p90_nrmse,p90 profile NRMSE,0.1343709486403481,0.2932916126274073,-0.15892066398705923
SKS02,SKS03,SKS02→SKS03,EQM_5,2,cluster_p90_nrmse,p90 profile NRMSE,0.21140165884052256,0.2897737659881906,-0.07837210714766804
SKS02,SKS03,SKS02→SKS03,EQM_1,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.06360599670542835,0.0821243093240861,-0.018518312618657745
SKS02,SKS03,SKS02→SKS03,EQM_2,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0527967653583305,0.11363444806206194,-0.06083768270373144
SKS02,SKS03,SKS02→SKS03,EQM_3,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.05593149868012675,0.19939248528404466,-0.1434609866039179
SKS02,SKS03,SKS02→SKS03,EQM_4,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.01494258389234225,0.12624539247588684,-0.11130280858354459
SKS02,SKS03,SKS02→SKS03,EQM_5,2,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.00645303769523615,0.1145105007036248,-0.10805746300838864
SKS02,SKS03,SKS02→SKS03,EQM_1,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.1428571428571428,0.1428571428571428,0.0
SKS02,SKS03,SKS02→SKS03,EQM_2,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.1428571428571428,0.1428571428571428,0.0
SKS02,SKS03,SKS02→SKS03,EQM_3,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.2142857142857142,0.21428571428571425,-5.551115123125783e-17
SKS02,SKS03,SKS02→SKS03,EQM_4,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.1428571428571428,0.1428571428571428,0.0
SKS02,SKS03,SKS02→SKS03,EQM_5,2,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.21428571428571425,0.28571428571428564,-0.0714285714285714
SKS02,SKS03,SKS02→SKS03,EQM_1,3,cluster_p90_nrmse,p90 profile NRMSE,0.09895492686064,0.1412397980865316,-0.042284871225891585
SKS02,SKS03,SKS02→SKS03,EQM_2,3,cluster_p90_nrmse,p90 profile NRMSE,0.09797233267943675,0.1419427172681408,-0.04397038458870406
SKS02,SKS03,SKS02→SKS03,EQM_3,3,cluster_p90_nrmse,p90 profile NRMSE,0.0941541075885583,0.14924807600873055,-0.05509396842017225
SKS02,SKS03,SKS02→SKS03,EQM_4,3,cluster_p90_nrmse,p90 profile NRMSE,0.071360027973593,0.15196508764937475,-0.08060505967578174
SKS02,SKS03,SKS02→SKS03,EQM_5,3,cluster_p90_nrmse,p90 profile NRMSE,0.10398976103780279,0.17960361123072105,-0.07561385019291826
SKS02,SKS03,SKS02→SKS03,EQM_1,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.09701591878749374,0.07472908308097245,0.02228683570652129
SKS02,SKS03,SKS02→SKS03,EQM_2,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.04784424795446825,0.0338711816486325,0.013973066305835745
SKS02,SKS03,SKS02→SKS03,EQM_3,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.01294688621131515,0.0,0.01294688621131515
SKS02,SKS03,SKS02→SKS03,EQM_4,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0480594759017366,0.04163695336023485,0.006422522541501746
SKS02,SKS03,SKS02→SKS03,EQM_5,3,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.11850657109090305,0.12556104629265236,-0.007054475201749302
SKS02,SKS03,SKS02→SKS03,EQM_1,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.14285714285714285,0.0714285714285714,0.07142857142857145
SKS02,SKS03,SKS02→SKS03,EQM_2,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.14285714285714285,0.0714285714285714,0.07142857142857145
SKS02,SKS03,SKS02→SKS03,EQM_3,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0714285714285714,0.0,0.0714285714285714
SKS02,SKS03,SKS02→SKS03,EQM_4,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.28571428571428564,0.2142857142857142,0.07142857142857145
SKS02,SKS03,SKS02→SKS03,EQM_5,3,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.3571428571428571,0.21428571428571425,0.14285714285714285
SKS02,SKS03,SKS02→SKS03,EQM_1,4,cluster_p90_nrmse,p90 profile NRMSE,0.0681063026303887,0.12771250825255825,-0.05960620562216956
SKS02,SKS03,SKS02→SKS03,EQM_2,4,cluster_p90_nrmse,p90 profile NRMSE,0.05300429349682355,0.13921685913470255,-0.086212565637879
SKS02,SKS03,SKS02→SKS03,EQM_3,4,cluster_p90_nrmse,p90 profile NRMSE,0.04416913034676895,0.14777917460571127,-0.10361004425894232
SKS02,SKS03,SKS02→SKS03,EQM_4,4,cluster_p90_nrmse,p90 profile NRMSE,0.03520331740446915,0.1524078792929203,-0.11720456188845114
SKS02,SKS03,SKS02→SKS03,EQM_5,4,cluster_p90_nrmse,p90 profile NRMSE,0.08650399757972164,0.1551237654995889,-0.06861976791986725
SKS02,SKS03,SKS02→SKS03,EQM_1,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.09701591878749374,0.0358127725748409,0.06120314621265285
SKS02,SKS03,SKS02→SKS03,EQM_2,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.04784424795446825,0.03371683953974805,0.014127408414720197
SKS02,SKS03,SKS02→SKS03,EQM_3,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.01294688621131515,0.0,0.01294688621131515
SKS02,SKS03,SKS02→SKS03,EQM_4,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0480594759017366,0.03702583436840015,0.011033641533336448
SKS02,SKS03,SKS02→SKS03,EQM_5,4,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.11850657109090305,0.055793478458713304,0.06271309263218974
SKS02,SKS03,SKS02→SKS03,EQM_1,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.14285714285714285,0.0714285714285714,0.07142857142857145
SKS02,SKS03,SKS02→SKS03,EQM_2,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.14285714285714285,0.0714285714285714,0.07142857142857145
SKS02,SKS03,SKS02→SKS03,EQM_3,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0714285714285714,0.0,0.0714285714285714
SKS02,SKS03,SKS02→SKS03,EQM_4,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.28571428571428564,0.1428571428571428,0.14285714285714285
SKS02,SKS03,SKS02→SKS03,EQM_5,4,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.3571428571428571,0.1428571428571428,0.2142857142857143
SKS02,SKS03,SKS02→SKS03,EQM_1,5,cluster_p90_nrmse,p90 profile NRMSE,0.0236988605401595,0.03676364024233595,-0.013064779702176451
SKS02,SKS03,SKS02→SKS03,EQM_2,5,cluster_p90_nrmse,p90 profile NRMSE,0.0312189395020017,0.0354261224245807,-0.004207182922579
SKS02,SKS03,SKS02→SKS03,EQM_3,5,cluster_p90_nrmse,p90 profile NRMSE,0.0481351231198071,0.02812844222006785,0.020006680899739247
SKS02,SKS03,SKS02→SKS03,EQM_4,5,cluster_p90_nrmse,p90 profile NRMSE,0.0360132381369009,0.011628106986863649,0.024385131150037254
SKS02,SKS03,SKS02→SKS03,EQM_5,5,cluster_p90_nrmse,p90 profile NRMSE,0.03530947878734205,0.03577583987375925,-0.00046636108641719826
SKS02,SKS03,SKS02→SKS03,EQM_1,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0358127725748409,0.0234690106568693,0.012343761917971596
SKS02,SKS03,SKS02→SKS03,EQM_2,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.04764996887531305,0.0320540523850192,0.015595916490293855
SKS02,SKS03,SKS02→SKS03,EQM_3,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.01294688621131515,0.03798191881230275,-0.0250350326009876
SKS02,SKS03,SKS02→SKS03,EQM_4,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.043359222089750696,0.0134202064699198,0.029939015619830894
SKS02,SKS03,SKS02→SKS03,EQM_5,5,cluster_p90_peak_load_relative_error,p90 peak-load relative error,0.0542919678000206,0.0,0.0542919678000206
SKS02,SKS03,SKS02→SKS03,EQM_1,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0714285714285714,0.07142857142857145,-5.551115123125783e-17
SKS02,SKS03,SKS02→SKS03,EQM_2,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.14285714285714285,0.07142857142857145,0.0714285714285714
SKS02,SKS03,SKS02→SKS03,EQM_3,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.0714285714285714,0.1428571428571428,-0.0714285714285714
SKS02,SKS03,SKS02→SKS03,EQM_4,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.21428571428571425,0.07142857142857145,0.1428571428571428
SKS02,SKS03,SKS02→SKS03,EQM_5,5,cluster_p90_peak_depth_error_z_over_l,"p90 discrete peak-depth error, z/L",0.21428571428571425,0.0,0.21428571428571425
