test,event,pile,source_file,bytes,rows,complete_rows,time_min_start,time_min_end,median_dt_s,moving_mean_window_rows,moving_mean_window_s,sampled_snapshots,missing_fraction,gage_count,gage_columns_present,missing_required_columns,usable_common_eight_gage_reference,exclusion_reason,time_status
SKS03,EQM_2,1,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Pile_1_Axial_Load.txt,3419201,43835,0,,,,0,0.0,0,,6,Gage1[MN];Gage3[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],Gage4[MN];Gage2[MN],False,incomplete common eight-gage grid,not assessed
SKS03,EQM_2,2,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Pile_2_Axial_Load.txt,4383599,43835,43835,0.0,539.41501,0.00780000000000447,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_2,3,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Pile_3_Axial_Load.txt,4383599,43835,43835,0.0,539.41501,0.00780000000000447,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_3,1,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Pile_1_Axial_Load.txt,3216245,41233,0,,,,0,0.0,0,,6,Gage1[MN];Gage3[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],Gage4[MN];Gage2[MN],False,incomplete common eight-gage grid,not assessed
SKS03,EQM_3,2,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Pile_2_Axial_Load.txt,4123399,41233,41233,0.0,539.07328,0.007800000000001139,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_3,3,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Pile_3_Axial_Load.txt,4123399,41233,41233,0.0,539.07328,0.007800000000001139,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_4,1,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Pile_1_Axial_Load.txt,3227477,41377,0,,,,0,0.0,0,,6,Gage1[MN];Gage3[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],Gage4[MN];Gage2[MN],False,incomplete common eight-gage grid,not assessed
SKS03,EQM_4,2,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Pile_2_Axial_Load.txt,4137799,41377,41377,0.0,539.09086,0.007800000000001139,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_4,3,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Pile_3_Axial_Load.txt,4137799,41377,41377,0.0,539.09086,0.007800000000001139,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_5,1,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Pile_1_Axial_Load.txt,3610613,46289,0,,,,0,0.0,0,,6,Gage1[MN];Gage3[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],Gage4[MN];Gage2[MN],False,incomplete common eight-gage grid,not assessed
SKS03,EQM_5,2,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Pile_2_Axial_Load.txt,4628999,46289,46289,0.0,539.07665,0.007800000000011131,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
SKS03,EQM_5,3,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Pile_3_Axial_Load.txt,4628999,46289,46289,0.0,539.07665,0.007800000000011131,385,3.0,120,0.0,8,Gage1[MN];Gage2[MN];Gage3[MN];Gage4[MN];Gage5[MN];Gage6[MN];Gage7[MN];Gage8[MN],,True,,provided
