training_test,evaluation_test,direction,additional_stations_b,smoothing,smoothing_multiplier,normalisation_floor_mn,specification,selected_gage_indices_top_to_bottom,selected_normalised_depths,earthquake_clusters,median_candidate_minus_uniform,bootstrap_95_low,bootstrap_95_high,fraction_events_candidate_better
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006127123021844823,-0.016481474959374832,-0.0013489864171634391,1.0
SKS03,SKS02,SKS03 to SKS02,4,half_reported,0.5,0.05,half_reported; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05381238023173602,-0.08187948044616591,-0.03399407548193957,1.0
SKS02,SKS03,SKS02 to SKS03,2,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;3,0.000;0.143;0.429,5,-0.11550575790547812,-0.15901334197818667,-0.07832275643194815,1.0
SKS02,SKS03,SKS02 to SKS03,3,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.05528842088019055,-0.08081663356390398,-0.04245231389374317,1.0
SKS02,SKS03,SKS02 to SKS03,4,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611378959819468,-0.11725565160394527,-0.059667959490182096,1.0
SKS03,SKS02,SKS03 to SKS02,2,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;5,0.000;0.143;0.714,6,0.02332260124281159,-0.03146723554083666,0.05151449124302958,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006127123021844823,-0.016481474959374832,-0.0013489864171634391,1.0
SKS03,SKS02,SKS03 to SKS02,4,half_reported,0.5,0.1,half_reported; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.05381238023173602,-0.08187948044616591,-0.03399407548193957,1.0
SKS02,SKS03,SKS02 to SKS03,2,reported,1.0,0.025,reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,5,-0.11559356967211999,-0.1589206639870592,-0.07837210714766805,1.0
SKS02,SKS03,SKS02 to SKS03,3,reported,1.0,0.025,reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.055093968420172196,-0.08060505967578174,-0.04228487122589159,1.0
SKS02,SKS03,SKS02 to SKS03,4,reported,1.0,0.025,reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08621256563787899,-0.11720456188845114,-0.05960620562216956,1.0
SKS03,SKS02,SKS03 to SKS02,2,reported,1.0,0.025,reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,6,0.023198173815999,-0.031557640436806776,0.051541377613076686,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,reported,1.0,0.025,reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.005889964492901051,-0.01697900361198608,-0.0013363999676361607,1.0
SKS03,SKS02,SKS03 to SKS02,4,reported,1.0,0.025,reported; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.053494997570867245,-0.08143865891535236,-0.03410156483594115,1.0
SKS02,SKS03,SKS02 to SKS03,2,reported,1.0,0.05,reported; floor=0.050 MN,0;1;3,0.000;0.143;0.429,5,-0.11559356967211999,-0.1589206639870592,-0.07837210714766805,1.0
SKS02,SKS03,SKS02 to SKS03,3,reported,1.0,0.05,reported; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.055093968420172196,-0.08060505967578174,-0.04228487122589159,1.0
SKS02,SKS03,SKS02 to SKS03,4,reported,1.0,0.05,reported; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08621256563787899,-0.11720456188845114,-0.05960620562216956,1.0
SKS03,SKS02,SKS03 to SKS02,2,reported,1.0,0.05,reported; floor=0.050 MN,0;1;5,0.000;0.143;0.714,6,0.023198173815999,-0.031557640436806776,0.051541377613076686,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,reported,1.0,0.05,reported; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.005889964492901051,-0.01697900361198608,-0.0013363999676361607,1.0
SKS03,SKS02,SKS03 to SKS02,4,reported,1.0,0.05,reported; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.053494997570867245,-0.08143865891535236,-0.03410156483594115,1.0
SKS02,SKS03,SKS02 to SKS03,2,reported,1.0,0.1,reported; floor=0.100 MN,0;1;3,0.000;0.143;0.429,5,-0.11559356967211999,-0.1589206639870592,-0.07837210714766805,1.0
SKS02,SKS03,SKS02 to SKS03,3,reported,1.0,0.1,reported; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.055093968420172196,-0.08060505967578174,-0.04228487122589159,1.0
SKS02,SKS03,SKS02 to SKS03,4,reported,1.0,0.1,reported; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08621256563787899,-0.11720456188845114,-0.05960620562216956,1.0
SKS03,SKS02,SKS03 to SKS02,2,reported,1.0,0.1,reported; floor=0.100 MN,0;1;5,0.000;0.143;0.714,6,0.023198173815999,-0.031557640436806776,0.051541377613076686,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,reported,1.0,0.1,reported; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.005889964492901051,-0.01697900361198608,-0.0013363999676361607,1.0
SKS03,SKS02,SKS03 to SKS02,4,reported,1.0,0.1,reported; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.053494997570867245,-0.08143865891535236,-0.03410156483594115,1.0
SKS02,SKS03,SKS02 to SKS03,2,double_reported,2.0,0.025,double_reported; floor=0.025 MN,0;1;3,0.000;0.143;0.429,5,-0.1155975924838645,-0.1594856948093651,-0.07786507799003749,1.0
SKS02,SKS03,SKS02 to SKS03,3,double_reported,2.0,0.025,double_reported; floor=0.025 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.0551433309788399,-0.0801086553219677,-0.04229123641643059,1.0
SKS02,SKS03,SKS02 to SKS03,4,double_reported,2.0,0.025,double_reported; floor=0.025 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611930044000216,-0.11781301918929116,-0.059688634845481946,1.0
SKS03,SKS02,SKS03 to SKS02,2,double_reported,2.0,0.025,double_reported; floor=0.025 MN,0;1;5,0.000;0.143;0.714,6,0.02303817635561556,-0.03212710444423061,0.05185239818931454,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,double_reported,2.0,0.025,double_reported; floor=0.025 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006202683876674782,-0.016246815289522237,-0.0013575082269843552,1.0
SKS03,SKS02,SKS03 to SKS02,4,double_reported,2.0,0.025,double_reported; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.053612407337689794,-0.08143997463003921,-0.03412740467287324,1.0
SKS02,SKS03,SKS02 to SKS03,2,double_reported,2.0,0.05,double_reported; floor=0.050 MN,0;1;3,0.000;0.143;0.429,5,-0.1155975924838645,-0.1594856948093651,-0.07786507799003749,1.0
SKS02,SKS03,SKS02 to SKS03,3,double_reported,2.0,0.05,double_reported; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.0551433309788399,-0.0801086553219677,-0.04229123641643059,1.0
SKS02,SKS03,SKS02 to SKS03,4,double_reported,2.0,0.05,double_reported; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611930044000216,-0.11781301918929116,-0.059688634845481946,1.0
SKS03,SKS02,SKS03 to SKS02,2,double_reported,2.0,0.05,double_reported; floor=0.050 MN,0;1;5,0.000;0.143;0.714,6,0.02303817635561556,-0.03212710444423061,0.05185239818931454,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,double_reported,2.0,0.05,double_reported; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006202683876674782,-0.016246815289522237,-0.0013575082269843552,1.0
SKS03,SKS02,SKS03 to SKS02,4,double_reported,2.0,0.05,double_reported; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.053612407337689794,-0.08143997463003921,-0.03412740467287324,1.0
SKS02,SKS03,SKS02 to SKS03,2,double_reported,2.0,0.1,double_reported; floor=0.100 MN,0;1;3,0.000;0.143;0.429,5,-0.1155975924838645,-0.1594856948093651,-0.07786507799003749,1.0
SKS02,SKS03,SKS02 to SKS03,3,double_reported,2.0,0.1,double_reported; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,5,-0.0551433309788399,-0.0801086553219677,-0.04229123641643059,1.0
SKS02,SKS03,SKS02 to SKS03,4,double_reported,2.0,0.1,double_reported; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,5,-0.08611930044000216,-0.11781301918929116,-0.059688634845481946,1.0
SKS03,SKS02,SKS03 to SKS02,2,double_reported,2.0,0.1,double_reported; floor=0.100 MN,0;1;5,0.000;0.143;0.714,6,0.02303817635561556,-0.03212710444423061,0.05185239818931454,0.3333333333333333
SKS03,SKS02,SKS03 to SKS02,3,double_reported,2.0,0.1,double_reported; floor=0.100 MN,0;1;3;7,0.000;0.143;0.429;1.000,6,-0.006202683876674782,-0.016246815289522237,-0.0013575082269843552,1.0
SKS03,SKS02,SKS03 to SKS02,4,double_reported,2.0,0.1,double_reported; floor=0.100 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,6,-0.053612407337689794,-0.08143997463003921,-0.03412740467287324,1.0
