case,digitised_points,median_between_figure_range,maximum_between_figure_range,maximum_load,maximum_range_percent_of_peak
Turrell H-pile post-blast,9,0.1217641747176685,2.231861948352318,173.1153434835678,1.2892340467580605
Turrell concrete pile post-blast,10,0.3785780181402742,0.826879628143459,170.1273871227361,0.48603557729768565
Turrell pipe pile post-blast,7,0.6272376415824397,1.3045814231479085,209.6921457840377,0.622141291115166
