selection_test,evaluation_test,additional_stations_b,total_retained_stations,selected_layout,admissible_layout_count,selected_target_median_nrmse,best_target_median_nrmse,median_admissible_target_nrmse,worst_target_median_nrmse,rank_1_is_best,fraction_admissible_layouts_outperformed
SKS02,SKS03,2,3,0;1;3,21,0.13437094864034815,0.09519424373514362,0.1954282025053149,0.32710903622140536,6,0.7142857142857143
SKS02,SKS03,3,4,0;1;5;6,35,0.09797233267943678,0.05915914088853784,0.15347347097831876,0.29377708446146567,13,0.6285714285714286
SKS02,SKS03,4,5,0;1;5;6;7,35,0.0530042934968236,0.03935362456319788,0.07969040153348418,0.26669479596957163,6,0.8285714285714286
SKS03,SKS02,2,3,0;1;5,21,0.23577073792891404,0.18563990770864564,0.2346209677785845,0.2848092144377557,12,0.42857142857142855
SKS03,SKS02,3,4,0;1;3;7,35,0.1975740061908429,0.16944900898769588,0.21121327633778803,0.2684269417262115,11,0.6857142857142857
SKS03,SKS02,4,5,0;1;4;6;7,35,0.13850496075187238,0.07148056402555236,0.1899809999549078,0.2359003819178201,5,0.8571428571428571
